Lineage name	Scotland	England	Date range	Global lineage	Total
UK175	533 (100.0%)	0 (0%)	Mar-01, Jun-20	B.6, B.1, B.1.35, B.1.5	533 taxa
UK336	308 (100.0%)	0 (0%)	Mar-20, Jul-22	B.1, B.1.93	308 taxa
UK5	190 (100.0%)	0 (0%)	Feb-28, Aug-31	B.1.1, B.1.1.10, B.1.1.13, B.1.1.14	190 taxa
UK40	181 (100.0%)	0 (0%)	Mar-13, Jun-23	B.16, B	181 taxa
UK39	144 (100.0%)	0 (0%)	Mar-12, May-29	A.2	144 taxa
UK5676	98 (100.0%)	0 (0%)	Mar-12, May-27	B.2	98 taxa
UK191	83 (100.0%)	0 (0%)	Mar-22, Jun-19	B.1, B.1.77	83 taxa
UK2464	80 (100.0%)	0 (0%)	Mar-19, May-22	B.1.90, B.1.11, B.1, B.1.5	80 taxa
UK2913	75 (100.0%)	0 (0%)	Mar-25, May-19	B.1.11, B.1, B.1.5	75 taxa
UK100	53 (100.0%)	0 (0%)	Apr-06, Jun-01	B.1.101, B.1	53 taxa
UK87	33 (100.0%)	0 (0%)	Mar-13, Apr-24	B.1, B.1.70	33 taxa
UK1951	31 (96.88%)	1 (3.12%)	Mar-13, Jul-13	B.1.1.1	32 taxa
UK600	30 (100.0%)	0 (0%)	Mar-09, Apr-30	B.1.1	30 taxa
UK1487	29 (100.0%)	0 (0%)	Mar-17, Apr-26	B.1.5	29 taxa
UK407	27 (100.0%)	0 (0%)	Aug-29, Aug-31	B.1, B.1.79	27 taxa
UK107	27 (100.0%)	0 (0%)	Mar-09, Jun-02	B.2.1	27 taxa
UK199	27 (100.0%)	0 (0%)	Mar-05, May-25	B.1, B.1.5	27 taxa
UK1683	26 (100.0%)	0 (0%)	Mar-16, May-21	B.1.1, B.1.1.1	26 taxa
UK1684	21 (100.0%)	0 (0%)	Mar-18, May-21	B.1.1, B.1.1.1	21 taxa
UK501	21 (100.0%)	0 (0%)	Mar-19, Jun-18	B.1	21 taxa
UK72	18 (100.0%)	0 (0%)	Mar-07, Apr-24	B	18 taxa
UK14	18 (100.0%)	0 (0%)	Mar-14, Apr-12	B	18 taxa
UK261	17 (100.0%)	0 (0%)	Mar-19, Apr-15	A.3	17 taxa
UK502	16 (100.0%)	0 (0%)	Mar-06, Mar-20	B.1.69	16 taxa
UK1332	15 (100.0%)	0 (0%)	Mar-31, May-19	B.1.5	15 taxa
UK1418	15 (100.0%)	0 (0%)	Apr-08, Jul-09	B.1.5	15 taxa
UK1040	14 (100.0%)	0 (0%)	Mar-21, May-06	B.1.1, B.1.1.20	14 taxa
UK44	13 (100.0%)	0 (0%)	Mar-17, Apr-13	B	13 taxa
UK58	13 (100.0%)	0 (0%)	Mar-12, Apr-24	B.1	13 taxa
UK1186	13 (100.0%)	0 (0%)	Aug-24, Aug-31	B.1, B.1.79	13 taxa
UK312	13 (100.0%)	0 (0%)	Aug-10, Aug-31	B.1	13 taxa
UK2200	12 (100.0%)	0 (0%)	Mar-31, May-04	B.1, B.1.5	12 taxa
UK669	12 (100.0%)	0 (0%)	Apr-15, May-21	B.1.1	12 taxa
UK120	11 (100.0%)	0 (0%)	Mar-02, Apr-16	B	11 taxa
UK1346	11 (100.0%)	0 (0%)	Mar-08, Apr-08	B.1.1	11 taxa
UK43	10 (100.0%)	0 (0%)	Mar-23, Apr-22	A.5	10 taxa
UK719	9 (100.0%)	0 (0%)	Mar-13, May-26	B.1.1	9 taxa
UK1034	9 (100.0%)	0 (0%)	Apr-22, May-27	B.1.1.28	9 taxa
UK2022	8 (100.0%)	0 (0%)	Aug-30, Aug-31	B.1.1	8 taxa
UK917	7 (100.0%)	0 (0%)	Apr-06, Apr-25	B.1.1	7 taxa
UK1230	7 (100.0%)	0 (0%)	Apr-01, May-13	B.1.1	7 taxa
UK601	7 (100.0%)	0 (0%)	Mar-14, Apr-01	B.10	7 taxa
UK267	7 (100.0%)	0 (0%)	Mar-19, May-27	B.2	7 taxa
UK167	7 (100.0%)	0 (0%)	Mar-12, Apr-14	B.1	7 taxa
UK945	7 (100.0%)	0 (0%)	Apr-08, Apr-17	B.1.1	7 taxa
UK1060	7 (100.0%)	0 (0%)	Mar-13, May-07	B.1.1	7 taxa
UK2916	6 (100.0%)	0 (0%)	Mar-03, Apr-04	B.1	6 taxa
UK187	6 (100.0%)	0 (0%)	Apr-04, Apr-24	B.1	6 taxa
UK1964	6 (100.0%)	0 (0%)	Mar-29, Jun-17	B.1.1.14, B.1.1	6 taxa
