Lineage,Days,England,Scotland,Wales,Northern Ireland
UK72,2020-03-11,0,0,0,1
UK72,2020-03-19,0,0,0,1
UK72,2020-03-21,0,0,0,1
UK72,2020-03-23,0,0,0,5
UK72,2020-03-23,0,0,0,5
UK72,2020-03-23,0,0,0,5
UK72,2020-03-23,0,0,0,5
UK72,2020-03-23,0,0,0,5
UK72,2020-03-24,0,0,0,2
UK72,2020-03-24,0,0,0,2
UK601,2020-03-11,0,0,0,1
UK601,2020-03-14,0,0,0,1
UK601,2020-03-16,0,0,0,4
UK601,2020-03-16,0,0,0,4
UK601,2020-03-16,0,0,0,4
UK601,2020-03-16,0,0,0,4
UK601,2020-03-17,0,0,0,4
UK601,2020-03-17,0,0,0,4
UK601,2020-03-17,0,0,0,4
UK601,2020-03-17,0,0,0,4
UK601,2020-03-18,0,0,0,1
UK601,2020-03-19,0,0,0,1
UK601,2020-03-20,0,0,0,3
UK601,2020-03-20,0,0,0,3
UK601,2020-03-20,0,0,0,3
UK601,2020-03-21,0,0,0,5
UK601,2020-03-21,0,0,0,5
UK601,2020-03-21,0,0,0,5
UK601,2020-03-21,0,0,0,5
UK601,2020-03-21,0,0,0,5
UK601,2020-03-22,0,0,0,3
UK601,2020-03-22,0,0,0,3
UK601,2020-03-22,0,0,0,3
UK601,2020-03-23,0,0,0,8
UK601,2020-03-23,0,0,0,8
UK601,2020-03-23,0,0,0,8
UK601,2020-03-23,0,0,0,8
UK601,2020-03-23,0,0,0,8
UK601,2020-03-23,0,0,0,8
UK601,2020-03-23,0,0,0,8
UK601,2020-03-23,0,0,0,8
UK601,2020-03-24,0,0,0,4
UK601,2020-03-24,0,0,0,4
UK601,2020-03-24,0,0,0,4
UK601,2020-03-24,0,0,0,4
UK601,2020-03-25,0,0,0,1
UK601,2020-03-26,0,0,0,6
UK601,2020-03-26,0,0,0,6
UK601,2020-03-26,0,0,0,6
UK601,2020-03-26,0,0,0,6
UK601,2020-03-26,0,0,0,6
UK601,2020-03-26,0,0,0,6
UK601,2020-03-29,0,0,0,3
UK601,2020-03-29,0,0,0,3
UK601,2020-03-29,0,0,0,3
UK2916,2020-03-20,0,0,0,1
UK2916,2020-03-23,0,0,0,3
UK2916,2020-03-23,0,0,0,3
UK2916,2020-03-23,0,0,0,3
UK2916,2020-03-24,0,0,0,2
UK2916,2020-03-24,0,0,0,2
UK2916,2020-03-25,0,0,0,1
UK2916,2020-03-29,0,0,0,1
UK5,2020-03-10,0,0,0,1
UK5,2020-03-11,0,0,0,1
UK5,2020-03-17,0,0,0,1
UK5,2020-03-18,0,0,0,2
UK5,2020-03-18,0,0,0,2
UK5,2020-03-19,0,0,0,1
UK5,2020-03-20,0,0,0,1
UK5,2020-03-21,0,0,0,6
UK5,2020-03-21,0,0,0,6
UK5,2020-03-21,0,0,0,6
UK5,2020-03-21,0,0,0,6
UK5,2020-03-21,0,0,0,6
UK5,2020-03-21,0,0,0,6
UK5,2020-03-22,0,0,0,2
UK5,2020-03-22,0,0,0,2
UK5,2020-03-23,0,0,0,5
UK5,2020-03-23,0,0,0,5
UK5,2020-03-23,0,0,0,5
UK5,2020-03-23,0,0,0,5
UK5,2020-03-23,0,0,0,5
UK5,2020-03-24,0,0,0,6
UK5,2020-03-24,0,0,0,6
UK5,2020-03-24,0,0,0,6
UK5,2020-03-24,0,0,0,6
UK5,2020-03-24,0,0,0,6
UK5,2020-03-24,0,0,0,6
UK5,2020-03-25,0,0,0,5
UK5,2020-03-25,0,0,0,5
UK5,2020-03-25,0,0,0,5
UK5,2020-03-25,0,0,0,5
UK5,2020-03-25,0,0,0,5
UK5,2020-03-26,0,0,0,5
UK5,2020-03-26,0,0,0,5
UK5,2020-03-26,0,0,0,5
UK5,2020-03-26,0,0,0,5
UK5,2020-03-26,0,0,0,5
UK5,2020-03-28,0,0,0,5
UK5,2020-03-28,0,0,0,5
UK5,2020-03-28,0,0,0,5
UK5,2020-03-28,0,0,0,5
UK5,2020-03-28,0,0,0,5
UK5,2020-03-29,0,0,0,5
UK5,2020-03-29,0,0,0,5
UK5,2020-03-29,0,0,0,5
UK5,2020-03-29,0,0,0,5
UK5,2020-03-29,0,0,0,5
UK5,2020-03-31,0,0,0,1
