Lineage name	England	Date range	Total sequences	Global lineage	Time since last sample (days)
UK200	62 (100.0%)	Apr-08, May-14	62	B.1.p11	3
UK6	62 (100.0%)	Apr-08, May-13	62	B.1	4
UK233	57 (100.0%)	Apr-08, May-13	57	B.1.1	4
UK199	50 (100.0%)	Apr-08, May-17	50	B.1.5.5	0
UK204	50 (100.0%)	Apr-08, May-12	50	B.1.1	5
UK351	25 (100.0%)	Apr-13, May-17	25	B.1.1, B.1.1.10	0
UK214	22 (100.0%)	Apr-08, May-13	22	B.1.1	4
UK36	19 (100.0%)	Apr-15, May-12	19	B.1	5
UK135	18 (100.0%)	Apr-08, May-11	18	B.1.p11	6
UK248	18 (100.0%)	Apr-08, May-11	18	B.1.1	6
UK376	13 (100.0%)	Apr-08, May-08	13	B.1.1	9
UK278	12 (100.0%)	Apr-10, May-06	12	B.1.1	11
UK147	11 (100.0%)	Apr-29, May-13	11	B.1.1	4
UK5672	11 (100.0%)	Apr-19, May-13	11	B.2	4
UK415	11 (100.0%)	Apr-19, May-06	11	B.1	11
UK148	10 (100.0%)	Apr-12, May-13	10	B.1.1	4
UK125	9 (100.0%)	Apr-22, May-10	9	B.1.1	7
UK5663	9 (100.0%)	Apr-11, Apr-30	9	B.2	17
UK91	8 (100.0%)	Apr-14, May-06	8	B.1.1	11
UK28	8 (100.0%)	Apr-13, May-01	8	B.1.1.10	16
UK173	7 (100.0%)	Apr-13, May-06	7	B	11
UK540	7 (100.0%)	Apr-09, Apr-22	7	B.1.1, B.1.1.p15	25
UK26	6 (100.0%)	Apr-29, May-11	6	B.1.1.3	6
UK5112	6 (100.0%)	May-05, May-08	6	B.1	9
